participant,session,trial,reference,label,condition,rating
Enzo,01,1,Center_Book_arrival,B,ICME,48
Enzo,01,1,Center_Book_arrival,A,Original,100
Enzo,01,1,Center_Book_arrival,E,ICIP_TMM,58
Enzo,01,1,Center_Book_arrival,F,Holes,30
Enzo,01,1,Center_Book_arrival,C,Fehn_i,88
Enzo,01,1,Center_Book_arrival,D,Fehn_c,92
Enzo,01,2,Right_Book_arrival,C,Fehn_c,50
Enzo,01,2,Right_Book_arrival,D,Holes,19
Enzo,01,2,Right_Book_arrival,A,Original,98
Enzo,01,2,Right_Book_arrival,E,ICME,37
Enzo,01,2,Right_Book_arrival,B,ICIP_TMM,46
Enzo,01,2,Right_Book_arrival,F,Fehn_i,54
Enzo,01,3,Center_Lovebird,D,ICIP_TMM,33
Enzo,01,3,Center_Lovebird,C,Holes,25
Enzo,01,3,Center_Lovebird,B,Original,100
Enzo,01,3,Center_Lovebird,E,Fehn_c,75
Enzo,01,3,Center_Lovebird,F,ICME,61
Enzo,01,3,Center_Lovebird,A,Fehn_i,74
Enzo,01,4,Right_Lovebird,F,Fehn_i,34
Enzo,01,4,Right_Lovebird,A,Original,100
Enzo,01,4,Right_Lovebird,B,ICIP_TMM,27
Enzo,01,4,Right_Lovebird,E,Fehn_c,11
Enzo,01,4,Right_Lovebird,D,ICME,26
Enzo,01,4,Right_Lovebird,C,Holes,10
Enzo,01,5,Right_Newspaper,E,ICIP_TMM,25
Enzo,01,5,Right_Newspaper,D,ICME,10
Enzo,01,5,Right_Newspaper,C,Original,100
Enzo,01,5,Right_Newspaper,F,Holes,0
Enzo,01,5,Right_Newspaper,B,Fehn_i,32
Enzo,01,5,Right_Newspaper,A,Fehn_c,33
Enzo,01,6,Center_Newspaper,E,Holes,9
Enzo,01,6,Center_Newspaper,C,ICME,34
Enzo,01,6,Center_Newspaper,B,ICIP_TMM,40
Enzo,01,6,Center_Newspaper,D,Fehn_i,57
Enzo,01,6,Center_Newspaper,A,Fehn_c,90
Enzo,01,6,Center_Newspaper,F,Original,100
